"Rank","Name","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales"
6046,"Just Dance Wii 2","Wii","2012","Misc","Nintendo",0,0,0.29,0,0.29
6100,"Battle & Get! Pokemon Typing DS","DS","2011","Misc","Nintendo",0,0,0.29,0,0.29
6103,"Tales of Phantasia","GBA","2003","Role-Playing","Nintendo",0.08,0.03,0.17,0.01,0.29
6146,"Final Fantasy VI Advance","GBA","2006","Role-Playing","Nintendo",0,0,0.28,0.01,0.28
6157,"Mega Man: Dr. Wily's Revenge","GB","1991","Platform","Nintendo",0,0,0.28,0,0.28
6166,"Mega Man II","GB","1991","Platform","Nintendo",0,0,0.28,0,0.28
6183,"Sing Party","WiiU","2012","Misc","Nintendo",0.13,0.12,0,0.02,0.28
6233,"Pokemon Box: Ruby & Sapphire","GC","2003","Misc","Nintendo",0,0,0.27,0.01,0.28
6257,"Donkey Kong GB: Dinky Kong & Dixie Kong","GB","2000","Platform","Nintendo",0,0,0.28,0,0.28
6259,"ExciteBots: Trick Racing","Wii","2009","Racing","Nintendo",0.26,0,0,0.02,0.28
6265,"Moero! Nekketsu Rhythm Damashii: Osu! Tatakae! Ouendan! 2","DS","2007","Misc","Nintendo",0,0,0.27,0,0.27
6307,"Baten Kaitos: Eternal Wings and the Lost Ocean","GC","2003","Role-Playing","Nintendo",0.21,0.05,0,0.01,0.27
6348,"Command & Conquer","N64","1999","Strategy","Nintendo",0.22,0.05,0,0,0.27
6351,"Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training","3DS","2012","Action","Nintendo",0,0,0.27,0,0.27
6372,"Magical Vacation","GBA","2001","Role-Playing","Nintendo",0,0,0.26,0.01,0.27
6379,"America's Test Kitchen: Let's Get Cooking","DS","2010","Simulation","Nintendo",0.25,0,0,0.02,0.27
6381,"Fire Emblem: Shin Monshou no Nazo Hikari to Kage no Eiyuu","DS","2010","Strategy","Nintendo",0,0,0.27,0,0.27
6479,"DS Bungaku Zenshuu","DS","2007","Misc","Nintendo",0,0,0.26,0,0.26
6491,"Inazuma Eleven Strikers","Wii","2011","Role-Playing","Nintendo",0,0.01,0.25,0,0.26
6493,"Final Fantasy V Advance","GBA","2006","Role-Playing","Nintendo",0,0,0.26,0.01,0.26
6553,"Polarium","DS","2004","Puzzle","Nintendo",0.13,0.01,0.11,0.01,0.26
6556,"Classic NES Series: Bomberman","GBA","2004","Action","Nintendo",0.1,0.04,0.11,0.01,0.26
6584,"Fire Emblem: Thracia 776","SNES","1999","Strategy","Nintendo",0,0,0.26,0,0.26
6590,"Mario & Sonic at the Rio 2016 Olympic Games","WiiU","2016","Action","Nintendo",0.03,0.11,0.1,0.01,0.26
6603,"Metroid Prime Pinball","DS","2005","Misc","Nintendo",0.21,0,0.02,0.02,0.26
6694,"NBA Courtside 2 featuring Kobe Bryant","N64","1999","Sports","Nintendo",0.2,0.05,0,0,0.25
6705,"Freshly-Picked: Tingle's Rosy Rupeeland","DS","2006","Role-Playing","Nintendo",0,0.01,0.24,0,0.25
6765,"NBA Courtside 2002","GC","2002","Sports","Nintendo",0.19,0.05,0,0.01,0.25
6768,"Classic NES Series: Excitebike","GBA","2004","Racing","Nintendo",0.11,0.04,0.1,0.01,0.25
6769,"Classic NES Series: Xevious","GBA","2004","Shooter","Nintendo",0.08,0.03,0.12,0.01,0.25
6816,"DK: King of Swing","GBA","2005","Platform","Nintendo",0.17,0.06,0,0,0.24
6888,"Densetsu no Stafi 3","GBA","2004","Platform","Nintendo",0,0,0.23,0.01,0.24
6902,"Chibi-Robo! Zip Lash","3DS","2015","Platform","Nintendo",0.09,0.08,0.06,0.02,0.24
6923,"Game & Wario","WiiU","2013","Misc","Nintendo",0.06,0.06,0.11,0.01,0.24
6932,"Nintendo Presents: Crossword Collection","DS","2009","Puzzle","Nintendo",0,0.21,0,0.02,0.24
6979,"Girls Mode 3: Kirakira Code","3DS","2015","Action","Nintendo",0,0,0.23,0,0.23
6980,"Meteos","DS","2005","Puzzle","Nintendo",0.15,0.01,0.06,0.01,0.23
7039,"Last Window: The Secret of Cape West","DS","2010","Adventure","Nintendo",0,0.12,0.09,0.02,0.23
7067,"Tetris 2 (weekly jp sales)","GB","1992","Puzzle","Nintendo",0,0,0.23,0,0.23
7072,"Naruto Shippuden: Ninja Council 4","DS","2007","Action","Nintendo",0.09,0,0.13,0.01,0.23
7082,"Super Swing Golf","Wii","2006","Sports","Nintendo",0.14,0.01,0.07,0.01,0.23
7096,"Super R-Type","SNES","1991","Shooter","Nintendo",0,0,0.23,0,0.23
7122,"Tetris Attack","GB","1996","Puzzle","Nintendo",0,0,0.23,0,0.23
7176,"Hamtaro: Ham-Ham Games","GBA","2004","Sports","Nintendo",0.16,0.06,0,0,0.22
7264,"Kirby's Star Stacker","GB","1997","Puzzle","Nintendo",0,0,0.22,0,0.22
7270,"Shin Megami Tensei x Fire Emblem","WiiU","2015","Role-Playing","Nintendo",0.1,0.04,0.06,0.01,0.22
7272,"Disney's Magical Quest Starring Mickey and Minnie","GBA","2002","Action","Nintendo",0.16,0.06,0,0,0.22
7273,"Spirit Camera: The Cursed Memoir","3DS","2012","Adventure","Nintendo",0.12,0.02,0.06,0.01,0.22
7284,"Yoshi Touch & Go (JP sales)","DS","2005","Platform","Nintendo",0,0,0.22,0,0.22
7292,"Code Name: S.T.E.A.M.","3DS","2015","Strategy","Nintendo",0.14,0.05,0.01,0.02,0.22
7319,"Are You Smarter Than a 5th Grader? Back to School","Wii","2010","Misc","Nintendo",0.2,0,0,0.02,0.21
7419,"Heroes of Ruin","3DS","2012","Role-Playing","Nintendo",0.13,0.07,0,0.02,0.21
7441,"Solatorobo: Red the Hunter","DS","2010","Role-Playing","Nintendo",0.08,0.04,0.07,0.01,0.21
7483,"Little Battlers eXperience: Baku Boost","3DS","2012","Action","Nintendo",0,0,0.21,0,0.21
7507,"Trade & Battle: Card Hero","GB","2000","Strategy","Nintendo",0,0,0.2,0,0.2
7546,"Tekken 3D: Prime Edition","3DS","2012","Fighting","Nintendo",0.06,0.08,0.05,0.01,0.2
7745,"Ninja Gaiden 3","WiiU","2012","Action","Nintendo",0.15,0.03,0,0.02,0.19
7803,"Disney's Magical Mirror Starring Mickey Mouse","GC","2002","Adventure","Nintendo",0.15,0.04,0,0.01,0.19
7868,"Disney Magic World 2","3DS","2015","Action","Nintendo",0,0,0.19,0,0.19
7903,"Active Health with Carol Vorderman","DS","2009","Sports","Nintendo",0,0.18,0,0.01,0.19
7917,"Sudoku Gridmaster (JP sales)","DS","2006","Puzzle","Nintendo",0,0,0.19,0,0.19
7929,"Daigasso! Band Brothers","DS","2004","Misc","Nintendo",0,0,0.19,0,0.19
7947,"Face Training","DS","2007","Misc","Nintendo",0,0,0.19,0,0.19
7979,"Magical Starsign (US sales)","DS","2006","Role-Playing","Nintendo",0.16,0.03,0,0,0.19
8039,"GameBoy Wars","GB","1991","Strategy","Nintendo",0,0,0.18,0,0.18
8079,"Pokémon I Choose You / Squirtle Squad Game Boy Advance Video","GBA","2004","Misc","Nintendo",0.13,0.05,0,0,0.18
8120,"Daigasso! Band Brothers P","3DS","2013","Misc","Nintendo",0,0,0.18,0,0.18
8276,"Sudoku Gridmaster","DS","2006","Puzzle","Nintendo",0.13,0.03,0,0.01,0.17
8345,"Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video","GBA","2004","Misc","Nintendo",0.12,0.05,0,0,0.17
8398,"Custom Robo Arena","DS","2006","Fighting","Nintendo",0.02,0.02,0.12,0,0.17
8406,"Densetsu no Stafi 4","DS","2006","Platform","Nintendo",0,0,0.17,0,0.17
8428,"Street Fighter Alpha 2","SNES","1996","Fighting","Nintendo",0,0,0.17,0,0.17
8451,"Itoi Shigesato no Bass Tsuri No. 1","SNES","1997","Sports","Nintendo",0,0,0.17,0,0.17
8452,"Cubivore: Survival of the Fittest","GC","2002","Adventure","Nintendo",0.01,0,0.15,0,0.17
8496,"True Swing Golf","DS","2005","Sports","Nintendo",0.11,0,0.04,0.01,0.16
8543,"DS Rakubiki Jiten","DS","2005","Misc","Nintendo",0,0,0.16,0,0.16
8590,"Starcraft 64","N64","2000","Strategy","Nintendo",0.13,0.03,0,0,0.16
8643,"F-Zero: GP Legend","GBA","2003","Racing","Nintendo",0.11,0.04,0,0,0.16
8680,"Culdcept","3DS","2012","Misc","Nintendo",0,0,0.16,0,0.16
8877,"Tetris Attack","SNES","1995","Puzzle","Nintendo",0,0,0.15,0,0.15
8900,"Geist","GC","2005","Adventure","Nintendo",0.11,0.03,0,0,0.15
9024,"Okaeri! Chibi-Robo! Happy Richie Oosouji","DS","2009","Adventure","Nintendo",0,0,0.14,0,0.14
9052,"Doshin the Giant","GC","2002","Simulation","Nintendo",0,0,0.14,0,0.14
9115,"Mr. Driller: Drill Spirits","DS","2004","Puzzle","Nintendo",0.08,0,0.05,0.01,0.14
9286,"Magnetica","DS","2006","Puzzle","Nintendo",0.08,0.01,0.03,0.01,0.14
9303,"Kororinpa: Marble Mania","Wii","2006","Puzzle","Nintendo",0.08,0.02,0.03,0.01,0.14
9463,"Illusion of Gaia","SNES","1993","Role-Playing","Nintendo",0,0,0.13,0,0.13
9481,"Sin and Punishment","N64","2000","Shooter","Nintendo",0,0,0.13,0,0.13
9569,"Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video","GBA","2004","Misc","Nintendo",0.09,0.03,0,0,0.13
9738,"Eyeshield 21: Max Devil Power","DS","2006","Role-Playing","Nintendo",0,0,0.12,0,0.12
9982,"ASH: Archaic Sealed Heat","DS","2007","Role-Playing","Nintendo",0,0,0.12,0,0.12
10037,"Pocket Soccer League: Calciobit","3DS","2012","Sports","Nintendo",0,0,0.11,0,0.11
10074,"Fatal Frame: Maiden of Black Water","WiiU","2014","Action","Nintendo",0,0.03,0.08,0,0.11
10101,"Zangeki no Reginleiv","Wii","2010","Action","Nintendo",0,0,0.11,0,0.11
10145,"Kousoku Card Battle: Card Hero","DS","2007","Strategy","Nintendo",0,0,0.11,0,0.11
10198,"Odama","GC","2006","Misc","Nintendo",0.07,0.02,0.02,0,0.11
10203,"Soma Bringer","DS","2008","Role-Playing","Nintendo",0,0,0.11,0,0.11
10250,"Famicom Mini: Famicom Tantei Club - Kieta Koukeisha Zenkouhen","GBA","2004","Adventure","Nintendo",0,0,0.11,0,0.11
10305,"Irozuki Tingle no Koi no Balloon Trip","DS","2009","Adventure","Nintendo",0,0,0.11,0,0.11
10320,"Picross 3D 2","3DS","2015","Puzzle","Nintendo",0,0,0.11,0,0.11
10342,"Dynasty Warriors Advance","GBA","2005","Action","Nintendo",0.08,0.03,0,0,0.11
10352,"Mega Man Battle Network 5: Double Team DS (JP sales)","DS","2005","Role-Playing","Nintendo",0,0,0.11,0,0.11
10450,"Fatal Frame 2: Wii Edition","Wii","2012","Action","Nintendo",0,0,0.1,0,0.1
10471,"Mickey's Speedway USA (weekly JP sales)","N64","2000","Racing","Nintendo",0,0,0.1,0,0.1
10579,"Project Hacker: Kakusei","DS","2006","Action","Nintendo",0,0,0.1,0,0.1
10631,"L'Aigle de Guerre","GBA","2001","Strategy","Nintendo",0,0,0.1,0,0.1
10707,"Nihon Keizai Shinbunsha Kanshuu: Shiranai Mamade wa Son o Suru Mono ya Okane no Shikumi DS","DS","2009","Misc","Nintendo",0,0,0.1,0,0.1
10722,"Famicom Mini: Famicom Tantei Club Part II - Ushiro ni Tatsu Shoujo Zenkouhen","GBA","2004","Adventure","Nintendo",0,0,0.1,0,0.1
10749,"Famicom Mini: Mappy","GBA","2004","Platform","Nintendo",0,0,0.09,0,0.1
10784,"Touch Mechanic","DS","2008","Simulation","Nintendo",0.09,0,0,0.01,0.1
10864,"Terranigma","SNES","1995","Role-Playing","Nintendo",0,0,0.09,0,0.09
10925,"Brain Age: Concentration Training","3DS","2012","Puzzle","Nintendo",0.09,0,0,0.01,0.09
10994,"Pokemon Rumble World","3DS","2015","Action","Nintendo",0,0.01,0.08,0,0.09
11012,"Disney Art Academy","3DS","2016","Action","Nintendo",0.01,0.01,0.07,0,0.09
11053,"Inazuma Eleven 3","3DS","2013","Role-Playing","Nintendo",0,0.08,0,0.01,0.09
11118,"Kurikin: Nano Island Story","DS","2007","Role-Playing","Nintendo",0,0,0.09,0,0.09
11193,"Tabi no Yubisashi Kaiwachou DS: DS Series 4 America","DS","2006","Misc","Nintendo",0,0,0.09,0,0.09
11238,"Just Dance Wii U","WiiU","2014","Misc","Nintendo",0,0,0.09,0,0.09
11273,"Famicom Mini: Famicom Mukashi Banashi - Shin Oniga Shima Zenkouhen","GBA","2004","Adventure","Nintendo",0,0,0.08,0,0.08
11284,"Famicom Mini: Mario Bros.","GBA","2004","Platform","Nintendo",0,0,0.08,0,0.08
11411,"Zero: Tsukihami no Kamen","Wii","N/A","Action","Nintendo",0,0,0.08,0,0.08
11511,"Famicom Mini: SD Gundam World Gachapon Senshi - Scramble Wars","GBA","2004","Strategy","Nintendo",0,0,0.08,0,0.08
11516,"Famicom Mini: Star Soldier","GBA","2004","Shooter","Nintendo",0,0,0.08,0,0.08
11700,"Minna no Joushiki Ryoku TV","Wii","2008","Misc","Nintendo",0,0,0.08,0,0.08
11722,"Disaster: Day of Crisis","Wii","2008","Action","Nintendo",0,0.03,0.04,0,0.08
11761,"Famicom Mini: Hikari Shinwa: Palutena no Kagami","GBA","2004","Platform","Nintendo",0,0,0.07,0,0.07
11883,"Mega Man Battle Network 5: Double Team DS (US sales)","DS","2005","Role-Playing","Nintendo",0.07,0,0,0,0.07
11903,"DS Uranai Seikatsu","DS","2009","Misc","Nintendo",0,0,0.07,0,0.07
11924,"Make 10: A Journey of Numbers","DS","2007","Puzzle","Nintendo",0,0,0.07,0,0.07
11925,"Itoi Shigesato no Bass Tsuri No. 1 Ketteihan!","N64","2000","Sports","Nintendo",0,0,0.07,0,0.07
11928,"Famicom Mini: Nazo no Murasame-Jou","GBA","2004","Action","Nintendo",0,0,0.07,0,0.07
12071,"Famicom Mini: Wrecking Crew","GBA","2004","Puzzle","Nintendo",0,0,0.07,0,0.07
12125,"Mario Tennis","Wii","2010","Sports","Nintendo",0,0.06,0,0.01,0.07
12154,"Kanji Sonomama DS Rakubiki Jiten","DS","2006","Misc","Nintendo",0,0,0.07,0,0.07
12314,"Another Code R: A Journey into Lost Memories","Wii","2009","Adventure","Nintendo",0,0.03,0.03,0,0.06
12336,"Famicom Mini: Balloon Fight","GBA","2004","Action","Nintendo",0,0,0.06,0,0.06
12359,"Osu! Tatakae! Ouendan","DS","2005","Misc","Nintendo",0,0,0.06,0,0.06
12375,"Mario vs. Donkey Kong: Tipping Stars","3DS","2015","Puzzle","Nintendo",0,0,0.06,0,0.06
12428,"Devil's Third","WiiU","2015","Action","Nintendo",0.04,0.02,0,0.01,0.06
12501,"Eigo de Tabisuru: Little Charo","DS","2011","Misc","Nintendo",0,0,0.06,0,0.06
12621,"Tabi no Yubisashi Kaiwachou DS: DS Series 3 Kankoku","DS","2006","Misc","Nintendo",0,0,0.06,0,0.06
12772,"Dance Dance Revolution: Mario Mix (JP sales)","GC","2005","Simulation","Nintendo",0,0,0.05,0,0.06
12956,"Culdcept Revolt","3DS","2016","Strategy","Nintendo",0,0,0.05,0,0.05
13026,"Mawashite Tsunageru Touch Panic","DS","2006","Puzzle","Nintendo",0,0,0.05,0,0.05
13078,"Tabi no Yubisashi Kaiwachou DS: DS Series 2 Chuugoku","DS","2006","Misc","Nintendo",0,0,0.05,0,0.05
13192,"QUIZ PARTY","Wii","2012","Misc","Nintendo",0,0.05,0,0,0.05
13316,"Wii de Asobu Chibi-Robo!","Wii","2009","Adventure","Nintendo",0,0,0.05,0,0.05
13427,"Tabi no Yubisashi Kaiwachou DS: DS Series 1 Thai","DS","2006","Misc","Nintendo",0,0,0.05,0,0.05
13493,"Sekai no Gohan Shaberu! DS Oryouri Navi","DS","2008","Misc","Nintendo",0,0,0.04,0,0.04
13525,"Minna ga Shuyaku no NHK Kouhaku Quiz Kassen","Wii","2009","Misc","Nintendo",0,0,0.04,0,0.04
13619,"Hana to Ikimo no Rittai Zukan","3DS","2011","Misc","Nintendo",0,0,0.04,0,0.04
13642,"Tabi no Yubisashi Kaiwachou DS: DS Series 5 Deutsch","DS","2006","Misc","Nintendo",0,0,0.04,0,0.04
13798,"Famicom Mini: Clu Clu Land","GBA","2004","Puzzle","Nintendo",0,0,0.04,0,0.04
13889,"Famicom Remix Best Choice","3DS","2015","Action","Nintendo",0,0,0.04,0,0.04
13949,"Magical Starsign (JP sales)","DS","2006","Role-Playing","Nintendo",0,0,0.04,0,0.04
14194,"Electroplankton","DS","2005","Misc","Nintendo",0.01,0,0.02,0,0.03
14263,"Suujin Taisen","DS","2007","Strategy","Nintendo",0,0,0.03,0,0.03
14304,"Metroid Prime: Federation Force","3DS","2016","Action","Nintendo",0.02,0.01,0.01,0,0.03
14379,"Eyeshield 21: Field Saikyou no Senshi Tachi","Wii","2007","Role-Playing","Nintendo",0,0,0.03,0,0.03
14443,"Eyeshield 21: DevilBats DevilDays","GBA","2006","Role-Playing","Nintendo",0,0,0.03,0,0.03
14629,"Calcio Bit","GBA","2006","Sports","Nintendo",0,0,0.03,0,0.03
14635,"1000 Cooking Recipes from ELLE à table","DS","2010","Misc","Nintendo",0,0.02,0,0,0.03
14971,"Teddy Together","3DS","2016","Simulation","Nintendo",0,0.02,0,0,0.02
15000,"Wii de Asobu: Metroid Prime","Wii","N/A","Shooter","Nintendo",0,0,0.02,0,0.02
15002,"Wii de Asobu: Metroid Prime","Wii","N/A","Shooter","Nintendo",0,0,0.02,0,0.02
15846,"Otona no Renai Shousetsu: Harlequin Selection","DS","2010","Misc","Nintendo",0,0,0.02,0,0.02
15903,"Jet Impulse","DS","N/A","Simulation","Nintendo",0,0,0.02,0,0.02
15994,"Donkey Kong Jungle Beat","Wii","2008","Platform","Nintendo",0,0.01,0,0,0.01
16126,"Nintendogs and Cats Golden Retriever and New Friends","3DS","2011","Action","Nintendo",0,0.01,0,0,0.01
16272,"Slide Adventure: Mag Kid","DS","2007","Action","Nintendo",0,0,0.01,0,0.01
16360,"Mario vs. Donkey Kong: Tipping Stars","WiiU","2015","Puzzle","Nintendo",0,0,0.01,0,0.01
16459,"Art Academy: Home Studio","WiiU","2015","Misc","Nintendo",0,0,0.01,0,0.01
16476,"Captain Rainbow","Wii","2008","Adventure","Nintendo",0,0,0.01,0,0.01
16545,"Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack","3DS","2015","Misc","Nintendo",0,0,0.01,0,0.01
